Topaz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Attired, Duchess, Short, in shape, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, full breasts, Faux gauge earrings, magenta metallic lipstick
Topaz, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Bedecked, Femme fatale, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, silver Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Fauxhawk, large breasts, Cuff earrings, brown stain lipstick
Citrine, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Appareled, Babe, Tall, Narrow Hips, Square Face, Dark Skin, Red Hair, pink Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Long Wavy Hair, full breasts, Faux gauge earrings, green cream lipstick
Turquoise, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Covered, Escort, Average Height, Narrow Hips, Round Face, Olive Skin, Blonde Hair, peach Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Messy Top Knot, full breasts, Hoop earrings, violet cream lipstick
Hematite, Transparent crystals that refract light, casting beautiful prisms and rainbows, Curtained, Seductress, Tall, Toned, Oval Face, Tan Skin, Dark Brown Hair, brown Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Low Updo, round breasts, Threader earrings, fuchsia cream lipstick
Labradorite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Togged, Heiress, Average Height, Skinny, Square Face, Fair Skin, Strawberry Blonde Hair, red Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Layered Bob, soft breasts, Huggie earrings, black velvet lipstick
Coral, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Swathed, Starlet, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Amber Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Waves, round breasts, Faux gauge earrings, green metallic lipstick
Labradorite, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Curtained, Countess, Short, Athletic, Square Face, Dark Skin, Brunette Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, small breasts, Faux gauge earrings, burgundy matte lipstick
Coral, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Dressed, Phenom, Average Height, Toned, Oval Face, Fair Skin, Strawberry Blonde Hair, Amber Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Fishtail Crown Braid, soft breasts, Dangle earrings, coral cream lipstick
Tanzanite, A network of crystalized branches, capturing the beauty of nature's delicate formations, Veiled, Femme fatale, Tall, Skinny, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, purple Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Updo, perky breasts, Stud earrings, magenta satin lipstick
Opal, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Vestured, Sensation, Average Height, in shape, Oval Face, Fair Skin, Chestnut Hair, Blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Smooth Waves, perky breasts, Faux gauge earrings, light pink satin lipstick
Tourmaline, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Bedraped, Luminary, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, White Hair, Amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Sock Bun, large breasts, Threader earrings, orange stain lipstick
Sapphire, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Outfitted, Trailblazer, Short, Firm, Round Face, Dark Skin, Brunette Hair, ice blue Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Triple Braided Crown, augmented breasts, , red stain lipstick
Aventurine, Transparent crystals that refract light, casting beautiful prisms and rainbows, Decked, Vixen, Short, Fit, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Braided Half Up, saggy breasts, Dangle earrings, berry gloss lipstick
Amethyst, A network of crystalized branches, capturing the beauty of nature's delicate formations, Festooned, Temptress, Short, Athletic, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, Amber Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Curly Hair, large breasts, Cuff earrings, soft pink metallic lipstick
Jade, A crystalized formation with jagged edges, resembling a miniature mountain range, Decked out, Chanteuse, Short, Narrow Hips, Round Face, Olive Skin, Auburn Hair, purple Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, High Messy Bun, perky breasts, Drop earrings, red satin lipstick
Garnet, A crystalized formation with sharp edges and intricate geometric patterns, Decked out, Temptress, Average Height, in shape, Triangular Face, Dark Skin, Honey Blonde Hair, ice blue Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Long Curled Updo, firm breasts, Clip-on earrings, black matte lipstick
Agate, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Curtained, Duchess, Tall, Lean, Diamond-Shaped Face, Fair Skin, Auburn Hair, Brown Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, High Ponytail, saggy breasts, Threader earrings, orange stain lipstick
Labradorite, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Decked, Superwoman, Short, Fit, Triangular Face, Fair Skin, Chestnut Hair, grey Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Chignon, firm breasts, , cream gloss lipstick
Lapis Lazuli, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Covered, Baroness, Short, Firm, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, Brown Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, High Messy Bun, saggy breasts, Drop earrings, black satin lipstick
Opal, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Enrobed, Songstress, Average Height, Thin, Square Face, Olive Skin, Brunette Hair, peach Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, small breasts, Huggie earrings, red stain lipstick
Diamond, Crystals that grow in clusters, creating a textured and multidimensional surface, Decked out, Luminary, Short, Athletic, Square Face, Olive Skin, White Hair, ice blue Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Messy Bun, soft breasts, Cuff earrings, red velvet lipstick
Hematite, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Vestured, Female Warrior, Tall, Athletic, Heart-Shaped Face, Fair Skin, White Hair, brown Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Wavy Updo, full breasts, Threader earrings, hot pink cream lipstick
Diamond, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Gowned, Enchantress, Tall, Narrow Hips, Square Face, Olive Skin, Chestnut Hair, Green Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Fishtail Crown Braid, augmented breasts, Dangle earrings, mauve sheer lipstick
Citrine, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Gowned, Baroness, Average Height, Toned, Oval Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, soft breasts, Huggie earrings, rose gloss lipstick
Alexandrite, Transparent crystals that refract light, casting beautiful prisms and rainbows, Robed, Woman, Tall, Lean, Square Face, Tan Skin, Blonde Hair, Hazel Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, French Roll, full breasts, Huggie earrings, mauve sheer lipstick
Quartz, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Caparisoned, Miss, Tall, in shape, Round Face, Tan Skin, Silver Hair, purple Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Layered Bob, asymmetrical breasts, Clip-on earrings, pink cream lipstick
Pearl, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Embellished, Charmer, Short, Lean, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, Hazel Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fancy Updo, large breasts, Stud earrings, red sheer lipstick
Diamond, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Robed, Enchantress, Average Height, Thin, Heart-Shaped Face, Dark Skin, Dark Brown Hair, ruby Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Fishtail Crown Braid, large breasts, Hoop earrings, berry satin lipstick
Quartz, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Clothed in, Superwoman, Short, Fit, Square Face, Dark Skin, Gray Hair, silver Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid, full breasts, Drop earrings, black velvet lipstick
Amethyst, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Hooded, Babe, Tall, in shape, Diamond-Shaped Face, Tan Skin, White Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Short Afro, saggy breasts, Drop earrings, fuchsia stain lipstick
Pearl, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Decked out, Duchess, Tall, Fit, Round Face, Olive Skin, Gray Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fancy Updo, soft breasts, Threader earrings, burgundy metallic lipstick
Onyx, A network of crystalized branches, capturing the beauty of nature's delicate formations, Wrapped, Miss, Tall, Wide Hips, Round Face, Olive Skin, Black Hair, Brown Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Fauxhawk, round breasts, , terracotta satin lipstick
Turquoise, A crystalized formation with sharp edges and intricate geometric patterns, Decked, Vixen, Average Height, Wide Hips, Round Face, Dark Skin, Golden Blonde Hair, yellow Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Fishbone Braid, full breasts, Dangle earrings, cream sheer lipstick
Quartz, Crystals that grow in clusters, creating a textured and multidimensional surface, Sporting, Starlet, Short, Athletic, Oval Face, Fair Skin, Chestnut Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Fishtail Braid, asymmetrical breasts, Clip-on earrings, beige matte lipstick
Obsidian, A network of crystalized branches, capturing the beauty of nature's delicate formations, Habited, Artist, Short, Fit, Round Face, Tan Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Viking Braid, small breasts, , brown cream lipstick
Onyx, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Mantled, Goddess, Short, Thin, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fishbone Braid, full breasts, Threader earrings, coral gloss lipstick
Hematite, A crystalized formation with sharp edges and intricate geometric patterns, Shrouded, Superwoman, Average Height, Wide Hips, Round Face, Tan Skin, Brunette Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, natural breasts, Faux gauge earrings, grape sheer lipstick
Onyx, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Festooned, Queen, Tall, Wide Hips, Triangular Face, Olive Skin, Brunette Hair, Sapphire Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Bun, firm breasts, Clip-on earrings, peach satin lipstick
Citrine, Crystals that grow in clusters, creating a textured and multidimensional surface, Wrapped up, Visionary, Average Height, Fit, Triangular Face, Dark Skin, Blonde Hair, Amber Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Straight Hair, Smooth Waves, soft breasts, Stud earrings, mauve velvet lipstick
Aquamarine, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Appareled, Miss, Tall, Fit, Oval Face, Olive Skin, Light Brown Hair, black Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Blunt Cut Bangs, full breasts, Faux gauge earrings, green matte lipstick
Obsidian, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Cloaked, Goddess, Short, Slim, Triangular Face, Fair Skin, Silver Hair, ruby Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Side Bangs, large breasts, Threader earrings, fuchsia matte lipstick
Obsidian, A network of crystalized branches, capturing the beauty of nature's delicate formations, Hooded, Femme fatale, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Wavy Layered Bob, augmented breasts, Huggie earrings, terracotta velvet lipstick
Tourmaline, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Decked, Goddess, Short, Narrow Hips, Square Face, Tan Skin, Dark Brown Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, perky breasts, Huggie earrings, cherry matte lipstick
Iolite, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Vestured, Woman, Short, Firm, Triangular Face, Dark Skin, Strawberry Blonde Hair, amber Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Sleek Straight Hair, large breasts, Huggie earrings, coral sheer lipstick
Alexandrite, A crystalized formation with jagged edges, resembling a miniature mountain range, Bedraped, Trailblazer, Average Height, Thin, Round Face, Olive Skin, Blonde Hair, yellow Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Layered Bob, full breasts, Dangle earrings, teal sheer lipstick
Pearl, A crystalized formation with sharp edges and intricate geometric patterns, Covered, Maven, Tall, Athletic, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Long Straight Hair, full breasts, Threader earrings, golden satin lipstick
Iolite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Covered, Sensation, Tall, Lean, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, French Twist, asymmetrical breasts, Drop earrings, brown gloss lipstick
Lapis Lazuli, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Gowned, Escort, Tall, Fit, Round Face, Olive Skin, White Hair, hazel Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Loose Curls, round breasts, Stud earrings, green sheer lipstick
Quartz, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Togged, Mistress, Average Height, Thin, Triangular Face, Olive Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, full breasts, Huggie earrings, beige sheer lipstick
Quartz, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Gowned, Belle, Tall, Firm, Triangular Face, Tan Skin, Black Hair, aquamarine Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, full breasts, Drop earrings, cherry gloss lipstick
Tanzanite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Swathed, Siren, Short, Thin, Square Face, Fair Skin, Gray Hair, green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Side French Braid, saggy breasts, Drop earrings, cherry metallic lipstick
Obsidian, Transparent crystals that refract light, casting beautiful prisms and rainbows, Arrayed, Artist, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Dark Brown Hair, ice blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Bun, asymmetrical breasts, Threader earrings, mauve matte lipstick
Citrine, A crystalized formation with sharp edges and intricate geometric patterns, Cloaked, Heiress, Average Height, Fit, Square Face, Tan Skin, Red Hair, Amber Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Fauxhawk, soft breasts, Threader earrings, light pink cream lipstick
Malachite, Crystals that grow in clusters, creating a textured and multidimensional surface, Bedecked, Starlet, Average Height, Athletic, Round Face, Dark Skin, Strawberry Blonde Hair, yellow Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, High Chignon, natural breasts, Drop earrings, berry matte lipstick
Malachite, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Swathed, Songstress, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, coral Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Top Knot, firm breasts, Drop earrings, black matte lipstick
Pearl, A crystalized formation with sharp edges and intricate geometric patterns, Covered, Queen, Tall, Narrow Hips, Round Face, Fair Skin, Black Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Bun, augmented breasts, Clip-on earrings, rust sheer lipstick
Moonstone, Transparent crystals that refract light, casting beautiful prisms and rainbows, Decked out, Escort, Tall, Wide Hips, Oval Face, Tan Skin, Honey Blonde Hair, light blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, High Chignon, small breasts, Clip-on earrings, hot pink stain lipstick
Emerald, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Enveloped, Goddess, Average Height, Fit, Triangular Face, Olive Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Messy Top Knot, asymmetrical breasts, Faux gauge earrings, cream velvet lipstick
Emerald, A crystalized formation with sharp edges and intricate geometric patterns, Shrouded, Babe, Average Height, Skinny, Oval Face, Dark Skin, Auburn Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, saggy breasts, Threader earrings, violet satin lipstick
Emerald, A network of crystalized branches, capturing the beauty of nature's delicate formations, Gowned, Madame, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Chignon, full breasts, Threader earrings, pink cream lipstick
Opal, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Draped, Luminary, Short, Skinny, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, grey Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Frohawk, full breasts, Huggie earrings, beige sheer lipstick
Agate, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Bedraped, Madam, Average Height, Slim, Heart-Shaped Face, Fair Skin, Black Hair, Brown Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Curled Bob, augmented breasts, Hoop earrings, fuchsia sheer lipstick
Ruby, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Draped, Escort, Short, Narrow Hips, Triangular Face, Olive Skin, Platinum Blonde Hair, amethyst Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bangs with Highlights, round breasts, Threader earrings, fuchsia satin lipstick
Pearl, Crystals that grow in clusters, creating a textured and multidimensional surface, Curtained, Temptress, Tall, Toned, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, soft breasts, Stud earrings, coral sheer lipstick
Coral, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Swathed, Luminary, Short, Toned, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Waterfall Braid, soft breasts, Dangle earrings, magenta stain lipstick
Ruby, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Outfitted, Superwoman, Short, in shape, Oval Face, Tan Skin, Gray Hair, amethyst Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Curly Hair, Messy Top Knot, full breasts, Clip-on earrings, red sheer lipstick
Tanzanite, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Adorned, Songstress, Average Height, Toned, Triangular Face, Olive Skin, Strawberry Blonde Hair, light blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Waterfall Braid, full breasts, Threader earrings, burgundy metallic lipstick
Turquoise, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Bedecked, Charmer, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, jade Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Rope Braid, soft breasts, , light pink sheer lipstick
Emerald, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Donned in, Vixen, Short, Lean, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, Brown Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Sleek Straight Hair, round breasts, Clip-on earrings, burgundy velvet lipstick
Opal, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Veiled, Miss, Short, Thin, Round Face, Tan Skin, Chestnut Hair, Gray Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Fishtail Braid, full breasts, Stud earrings, cherry gloss lipstick
Sapphire, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Cloaked, Femme fatale, Average Height, Slim, Round Face, Olive Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Braided Crown, full breasts, Cuff earrings, fuchsia satin lipstick
Malachite, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Shrouded, Queen, Average Height, Firm, Heart-Shaped Face, Fair Skin, Gray Hair, silver Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Bun, small breasts, Cuff earrings, cream gloss lipstick
Garnet, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Bedizened, Vixen, Short, Lean, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, High Bun, saggy breasts, Threader earrings, green cream lipstick
Moonstone, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Shrouded, Artist, Tall, Wide Hips, Oval Face, Dark Skin, Strawberry Blonde Hair, Sapphire Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Shaggy Cut, small breasts, Threader earrings, terracotta gloss lipstick
Moonstone, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Arrayed, Charmer, Average Height, in shape, Round Face, Dark Skin, Blonde Hair, Blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Updo, soft breasts, Drop earrings, terracotta velvet lipstick
Moonstone, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Togged, Seductress, Tall, Slim, Diamond-Shaped Face, Tan Skin, Brunette Hair, pink Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Beach Waves, asymmetrical breasts, Dangle earrings, teal sheer lipstick
Coral, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Garbed, Femme fatale, Average Height, Fit, Heart-Shaped Face, Tan Skin, Blonde Hair, amber Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Messy Beach Waves, perky breasts, Drop earrings, coral velvet lipstick
Garnet, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Bedraped, Belle, Average Height, in shape, Oval Face, Tan Skin, Honey Blonde Hair, amethyst Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Shoulder-Length Curls, full breasts, Drop earrings, magenta cream lipstick
Quartz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Clothed in, Lady, Average Height, in shape, Triangular Face, Olive Skin, Chestnut Hair, hazel Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, High Messy Bun, asymmetrical breasts, Clip-on earrings, golden metallic lipstick
Emerald, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Festooned, Starlet, Tall, Toned, Heart-Shaped Face, Olive Skin, Blonde Hair, Amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Tapered Afro, natural breasts, Stud earrings, violet sheer lipstick
Emerald, A crystalized formation with sharp edges and intricate geometric patterns, Arrayed, Baroness, Tall, Wide Hips, Square Face, Olive Skin, Silver Hair, Brown Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, full breasts, Dangle earrings, berry matte lipstick
Agate, Transparent crystals that refract light, casting beautiful prisms and rainbows, Dressed, Femme fatale, Average Height, Thin, Heart-Shaped Face, Olive Skin, Red Hair, amber Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Low Updo, saggy breasts, Hoop earrings, beige metallic lipstick
Citrine, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Curtained, Duchess, Tall, Wide Hips, Triangular Face, Fair Skin, Honey Blonde Hair, jade Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, natural breasts, Drop earrings, beige cream lipstick
Rhodochrosite, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Gowned, Diva, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, dark brown Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Bun, round breasts, Huggie earrings, lavender stain lipstick
Pearl, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Clothed in, Countess, Average Height, Narrow Hips, Square Face, Dark Skin, Light Brown Hair, hazel Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Messy Top Knot, soft breasts, Dangle earrings, golden cream lipstick
Onyx, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Decked out, Queen, Tall, Thin, Diamond-Shaped Face, Olive Skin, Auburn Hair, amethyst Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fluffy Afro, small breasts, Hoop earrings, violet stain lipstick
Opal, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Bedizened, Escort, Tall, Thin, Oval Face, Olive Skin, Blonde Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Side French Braid, small breasts, Drop earrings, magenta satin lipstick
Opal, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Covered, Luminary, Short, Fit, Triangular Face, Dark Skin, Brunette Hair, Sapphire Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, asymmetrical breasts, Dangle earrings, hot pink velvet lipstick
Citrine, Crystals that grow in clusters, creating a textured and multidimensional surface, Dressed, Baroness, Tall, Skinny, Triangular Face, Tan Skin, Auburn Hair, red Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun, asymmetrical breasts, Stud earrings, golden sheer lipstick
