Refreshing coconut water, Smooth and creamy, Creating waves, Lady, Tall, Thin, Round Face, Olive Skin, Honey Blonde Hair, teal Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Beach Waves, asymmetrical breasts, , magenta metallic lipstick, Racing against the clock on a liquid track, Sparkling sunlight on waves
Enchantress, Tall, Slim, Heart-Shaped Face, Olive Skin, White Hair, teal Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, large breasts, Clip-on earrings, orange velvet lipstick, Bending the knees and resting the upper body on the thighs, Lighthouse beaming across the sea
Trailblazer, Tall, Athletic, Oval Face, Dark Skin, Chestnut Hair, jade Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, soft breasts, Hoop earrings, grape velvet lipstick, Sitting with one leg crossed over the other and twisting the torso, Iridescent bubbles in water
Female Warrior, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Chestnut Hair, Brown Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, perky breasts, Clip-on earrings, fuchsia velvet lipstick, Standing with feet together, bending the upper body forward to touch the ground, Sailing boats in the distance
Lady, Tall, Firm, Diamond-Shaped Face, Dark Skin, Blonde Hair, Brown Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Low Chignon, augmented breasts, Stud earrings, plum stain lipstick, Kneeling with one leg extended forward and hands reaching overhead, Autumn reflections on water
Luminary, Short, Skinny, Heart-Shaped Face, Dark Skin, Gray Hair, hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Bun, large breasts, Faux gauge earrings, green metallic lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Babbling brook in a forest
Sensation, Tall, Lean, Oval Face, Fair Skin, Blonde Hair, Sapphire Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Long Curly Hair, small breasts, Clip-on earrings, red stain lipstick, Standing with feet wide apart and bending forward, hands reaching the ground, Lighthouse beaming across the sea
Miss, Short, Slim, Heart-Shaped Face, Tan Skin, Red Hair, amethyst Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, small breasts, Hoop earrings, golden sheer lipstick, Twisting the torso while sitting, Majestic bridges spanning rivers
Chanteuse, Average Height, Narrow Hips, Triangular Face, Fair Skin, Brunette Hair, peach Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Waterfall Braid, round breasts, Faux gauge earrings, green stain lipstick, Bending the knees and resting the upper body on the thighs, Frozen icicles near water
Babe, Tall, in shape, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, round breasts, Clip-on earrings, red sheer lipstick, Lying on the stomach and lifting the legs and upper body, Sparkling sunlight on waves
Artist, Average Height, Toned, Heart-Shaped Face, Fair Skin, Brunette Hair, yellow Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wavy Updo, augmented breasts, Cuff earrings, soft pink stain lipstick, Standing with feet wide apart, bending to one side with arm reaching overhead, Misty reflections
Temptress, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Auburn Hair, peach Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, natural breasts, Threader earrings, coral matte lipstick, Balancing on one leg with arms extended, Sparkling sunlight on waves
Woman, Short, Thin, Heart-Shaped Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Boho Braid, asymmetrical breasts, Cuff earrings, light pink satin lipstick, Lying on the stomach with hands beside the shoulders and chest lifted, Majestic waterfall
Escort, Short, Narrow Hips, Oval Face, Dark Skin, Auburn Hair, brown Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, asymmetrical breasts, Threader earrings, violet gloss lipstick, Kneeling with one leg extended forward and hands reaching overhead, Majestic bridges spanning rivers
Maven, Short, Narrow Hips, Triangular Face, Dark Skin, Silver Hair, Amber Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Low Messy Bun, large breasts, Drop earrings, peach gloss lipstick, Balancing on hands and feet, hips lifted, forming an inverted V shape, Rushing whitewater rapids
Diva, Short, Fit, Triangular Face, Tan Skin, Blonde Hair, green Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Layered Bob, natural breasts, Dangle earrings, violet metallic lipstick, Sitting on heels with upper body folded forward, Iridescent bubbles in water
Vixen, Short, Athletic, Heart-Shaped Face, Dark Skin, Dark Brown Hair, grey-blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Frohawk, natural breasts, , rust velvet lipstick, Bending the upper body backwards while standing, Gentle ripples on a pond
Duchess, Short, Lean, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, full breasts, Hoop earrings, fuchsia cream lipstick, Lying on the stomach with legs extended and hands under the shoulders, Lighthouse beaming across the sea
Countess, Short, Narrow Hips, Triangular Face, Olive Skin, Golden Blonde Hair, ruby Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, saggy breasts, Drop earrings, rust sheer lipstick, Lying on the stomach with hands beside the shoulders and chest lifted, Golden sunlight on sandy shores
Sensation, Short, Slim, Square Face, Olive Skin, Platinum Blonde Hair, brown Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side Bangs, augmented breasts, Threader earrings, mauve stain lipstick, Bending the knees and resting the upper body on the thighs, Crashing ocean waves
Belle, Short, Toned, Round Face, Tan Skin, White Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Straight Hair, Half Up Half Down, perky breasts, Hoop earrings, golden stain lipstick, Standing with feet hip-width apart and hands by the sides, Crashing ocean waves
Femme fatale, Tall, in shape, Square Face, Fair Skin, Auburn Hair, Sapphire Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Updo, saggy breasts, Clip-on earrings, soft pink sheer lipstick, Standing with feet hip-width apart and hands by the sides, Lighthouse beaming across the sea
Seductress, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Black Hair, Gray Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fancy Updo, large breasts, Drop earrings, rust matte lipstick, Balancing on one leg with arms extended, Peaceful pond reflections
Luminary, Short, Slim, Round Face, Tan Skin, Red Hair, red Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Side Bangs, small breasts, Threader earrings, rust cream lipstick, Sitting with legs extended and leaning forward, Submerged rocks in a river
Femme fatale, Short, Athletic, Diamond-Shaped Face, Olive Skin, White Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, natural breasts, Threader earrings, peach matte lipstick, Sitting on heels with upper body folded forward, Coral reef
Enchantress, Tall, Thin, Round Face, Fair Skin, White Hair, purple Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Curly Hair, Low Messy Bun, firm breasts, Threader earrings, violet metallic lipstick, Sitting on the heels and folding the upper body forward with arms extended, Crashing ocean waves
Empress, Tall, Slim, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Amber Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, large breasts, Dangle earrings, peach stain lipstick, Lying on the back with legs raised and hands supporting the lower back, Glistening raindrops
Queen, Short, in shape, Round Face, Fair Skin, Golden Blonde Hair, jade Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Short Afro, large breasts, Hoop earrings, rose matte lipstick, Sitting with legs crossed and twisting the torso to one side, Shimmering city lights reflecting on water
Heiress, Tall, Slim, Heart-Shaped Face, Dark Skin, Black Hair, amber Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Braided Updo, perky breasts, Stud earrings, rust cream lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Lush green wetland
Starlet, Short, Athletic, Triangular Face, Olive Skin, Gray Hair, yellow Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Bob, perky breasts, Drop earrings, rust stain lipstick, Bending forward and resting the forehead on the knees or shins, Autumn reflections on water
Diva, Tall, Firm, Triangular Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob, large breasts, Drop earrings, berry matte lipstick, Sitting on the heels with knees apart and upper body resting between the thighs, Cascading water features in gardens
Baroness, Tall, Toned, Diamond-Shaped Face, Fair Skin, Light Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Half Up Half Down, full breasts, Drop earrings, soft pink stain lipstick, Lying on the back with knees bent and feet flat on the ground, Sunset over the water
Lady, Tall, Narrow Hips, Round Face, Tan Skin, Honey Blonde Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, natural breasts, Clip-on earrings, brown sheer lipstick, Inverted position with hands and feet on the ground, hips lifted, Glistening raindrops
Enigma, Tall, Lean, Oval Face, Olive Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fringed Bangs, large breasts, Hoop earrings, cream velvet lipstick, Bending forward with hands reaching the ground, Iridescent bubbles in water
Woman, Tall, Slim, Triangular Face, Fair Skin, Brunette Hair, Hazel Eyes with Green Flecks, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, soft breasts, , fuchsia stain lipstick, Sitting with crossed legs and spine upright, Dewy spiderwebs in the morning by water
Baroness, Tall, Fit, Heart-Shaped Face, Olive Skin, Brunette Hair, light blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Angled Bob, small breasts, Hoop earrings, silver metallic lipstick, Sitting with crossed legs and spine upright, Glowing sunrise on the coast
Songstress, Average Height, Toned, Heart-Shaped Face, Dark Skin, Blonde Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Chignon, perky breasts, Faux gauge earrings, beige metallic lipstick, Sitting on the heels with knees apart and upper body resting between the thighs, Droplets on grass blades near water
Belle, Short, in shape, Square Face, Dark Skin, Blonde Hair, grey-blue Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Loose Curls, large breasts, Hoop earrings, light pink sheer lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Dew-covered flower petals by water
Mistress, Short, Toned, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, red Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Formal Updo, perky breasts, Cuff earrings, golden metallic lipstick, Sitting with legs extended and leaning forward, Snowflakes falling on frozen water landscapes
Heiress, Short, Skinny, Round Face, Dark Skin, Red Hair, Amber Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fluffy Afro, perky breasts, Dangle earrings, pink gloss lipstick, Sitting on heels with upper body folded forward, Shimmering city lights reflecting on water
Starlet, Average Height, Toned, Triangular Face, Tan Skin, Light Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Messy Bun, small breasts, Stud earrings, rose velvet lipstick, Standing with feet wide apart, bending one knee and keeping the other leg straight, Tropical paradise beach
Visionary, Tall, in shape, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Shaggy Cut, firm breasts, Dangle earrings, brown metallic lipstick, Sitting with crossed legs and spine upright, Majestic fjords and cliffs by water
Empress, Short, Athletic, Square Face, Fair Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, firm breasts, Stud earrings, fuchsia stain lipstick, Sitting with legs extended and leaning forward, Droplets on grass blades near water
Babe, Average Height, Toned, Heart-Shaped Face, Dark Skin, Black Hair, green Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fluffy Afro, saggy breasts, Hoop earrings, mauve sheer lipstick, Sitting on the heels with hands resting on the thighs, focusing on breath, Rain-soaked city streets near water
Siren, Tall, Lean, Square Face, Dark Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Half Up Half Down, round breasts, Faux gauge earrings, cream sheer lipstick, Bending forward and resting the forehead on the knees or shins, Rippling lake surface
Diva, Average Height, Narrow Hips, Square Face, Dark Skin, Gray Hair, yellow Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Side Bangs, full breasts, Faux gauge earrings, terracotta velvet lipstick, Balancing on hands and feet, hips lifted, forming an inverted V shape, Sailing boats in the distance
Artist, Average Height, Slim, Square Face, Fair Skin, Strawberry Blonde Hair, green Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Middle Part Bangs, small breasts, Clip-on earrings, fuchsia cream lipstick, Standing with feet together, bending the upper body forward to touch the ground, Golden sunlight on sandy shores
Empress, Average Height, Narrow Hips, Triangular Face, Olive Skin, Golden Blonde Hair, amethyst Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, French Braid, saggy breasts, Clip-on earrings, grape cream lipstick, Sitting on the heels with arms extended forward and forehead on the ground, Glistening raindrops
Phenom, Average Height, Skinny, Round Face, Dark Skin, Blonde Hair, purple Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Sleek Bun, perky breasts, Stud earrings, magenta sheer lipstick, Inverted position with legs overhead and hands supporting the back, Crystalline glacier formations near water
Maven, Short, Slim, Triangular Face, Dark Skin, Silver Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, asymmetrical breasts, Clip-on earrings, terracotta satin lipstick, Inverted position with hands and feet on the ground, hips lifted, Iridescent bubbles in water
Duchess, Tall, Toned, Square Face, Olive Skin, Strawberry Blonde Hair, green Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Wavy Hair, High Chignon, asymmetrical breasts, Faux gauge earrings, hot pink velvet lipstick, Sitting with soles of the feet together and knees out to the sides, Shimmering city lights reflecting on water
Female Warrior, Tall, Fit, Diamond-Shaped Face, Tan Skin, Chestnut Hair, Hazel Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, round breasts, Threader earrings, green cream lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Moss-covered rocks near water
Superwoman, Tall, Thin, Square Face, Dark Skin, Blonde Hair, light blue Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Bangs with Highlights, large breasts, Stud earrings, plum stain lipstick, Lying on the back with legs bent, crossing one ankle over the opposite knee, Silhouette of a lone pier by water
Charmer, Tall, Firm, Square Face, Dark Skin, Red Hair, gold Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Blunt Cut Bangs, soft breasts, Dangle earrings, magenta metallic lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Lighthouse beaming across the sea
Duchess, Tall, Wide Hips, Oval Face, Dark Skin, Black Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Dutch Braid, large breasts, Hoop earrings, plum satin lipstick, Lifting the chest and arching the back, Iridescent bubbles in water
Songstress, Tall, Lean, Triangular Face, Olive Skin, Brunette Hair, Gray Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Braided Half Up, saggy breasts, Stud earrings, violet satin lipstick, Twisting the torso while sitting, Sparkling sunlight on waves
Temptress, Short, Fit, Oval Face, Fair Skin, Strawberry Blonde Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Half Up Half Down, full breasts, Threader earrings, berry metallic lipstick, Lying on the back with legs bent, crossing one ankle over the opposite knee, Mysterious misty forest near water
Songstress, Average Height, Fit, Heart-Shaped Face, Olive Skin, Dark Brown Hair, Blue Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Top Knot, perky breasts, Faux gauge earrings, rose metallic lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Dramatic stormy skies over water
Belle, Average Height, Thin, Round Face, Fair Skin, Silver Hair, coral Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid, soft breasts, Dangle earrings, hot pink matte lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Waterfall cascade
Countess, Average Height, Wide Hips, Triangular Face, Olive Skin, Brunette Hair, Gray Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Frohawk, perky breasts, Drop earrings, coral cream lipstick, Lying on the stomach with hands beside the shoulders and chest lifted, Iridescent bubbles in water
Countess, Tall, Lean, Diamond-Shaped Face, Tan Skin, Brunette Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, full breasts, Dangle earrings, gloss metallic lipstick, Lying on the back with legs extended and arms resting by the sides, Babbling brook in a forest
Visionary, Tall, Slim, Heart-Shaped Face, Olive Skin, Chestnut Hair, turquoise Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Loose Curls, augmented breasts, Threader earrings, orange matte lipstick, Lying on the stomach with legs extended and arms reaching forward, Rushing whitewater rapids
Duchess, Average Height, Lean, Triangular Face, Dark Skin, Red Hair, dark brown Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, augmented breasts, Clip-on earrings, lavender velvet lipstick, Lying on the back with legs bent and feet close to the buttocks, Glistening raindrops
Sensation, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Black Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, perky breasts, Threader earrings, plum metallic lipstick, Lying on the stomach with legs extended and hands under the shoulders, Glistening raindrops
Diva, Average Height, Toned, Square Face, Dark Skin, Dark Brown Hair, dark brown Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Frohawk, saggy breasts, Threader earrings, grape velvet lipstick, Standing with feet together, bending one knee and holding the foot with the hand, Lighthouse beaming across the sea
Diva, Tall, Firm, Diamond-Shaped Face, Dark Skin, Auburn Hair, Gray Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Rope Braid, firm breasts, Hoop earrings, rust sheer lipstick, Lying on the stomach with legs extended and arms reaching forward, Rushing whitewater rapids
Femme fatale, Tall, Thin, Triangular Face, Dark Skin, Black Hair, grey-blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Long Straight Hair, firm breasts, , rust velvet lipstick, Lying on the stomach with legs extended and hands under the shoulders, Calm bay serenity
Chanteuse, Average Height, Skinny, Round Face, Dark Skin, White Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Updo, asymmetrical breasts, Threader earrings, peach matte lipstick, Lying on the stomach and lifting the legs and upper body, Rushing whitewater rapids
Woman, Average Height, Athletic, Triangular Face, Dark Skin, Strawberry Blonde Hair, Green Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Wavy Layered Bob, round breasts, Threader earrings, rust satin lipstick, Standing with feet hip-width apart and hands by the sides, Rain-soaked city streets near water
Sensation, Tall, Narrow Hips, Square Face, Dark Skin, Blonde Hair, turquoise Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, augmented breasts, , hot pink sheer lipstick, Balancing on hands and feet, hips lifted, forming an inverted V shape, Snowflakes falling on frozen water landscapes
Trailblazer, Short, Slim, Oval Face, Fair Skin, Chestnut Hair, gold Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, asymmetrical breasts, Cuff earrings, rose velvet lipstick, Bending sideways with one arm reaching overhead, Autumn leaves drifting on streams
Starlet, Short, Firm, Oval Face, Dark Skin, Platinum Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Side Bangs, soft breasts, Cuff earrings, magenta sheer lipstick, Kneeling with one leg extended forward and hands reaching overhead, Autumn leaves drifting on streams
Starlet, Short, in shape, Triangular Face, Olive Skin, Brunette Hair, Green Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Tapered Afro, perky breasts, Faux gauge earrings, cream gloss lipstick, Lying on the back with legs extended and arms resting by the sides, Coral reef
Enchantress, Short, Lean, Heart-Shaped Face, Fair Skin, Black Hair, gold Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Fine Hair, Low Ponytail, augmented breasts, Hoop earrings, violet satin lipstick, Standing with feet together, bending one knee and holding the foot with the hand, Majestic waterfall
Madam, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, hazel Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, natural breasts, Stud earrings, pink sheer lipstick, Sitting with one leg extended and bending the other leg with foot against the thigh, Droplets on grass blades near water
Sensation, Average Height, in shape, Heart-Shaped Face, Fair Skin, White Hair, coral Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Formal Updo, soft breasts, Drop earrings, berry matte lipstick, Sitting on the heels with arms extended forward and forehead on the ground, Rushing whitewater rapids
Dame, Short, Narrow Hips, Oval Face, Olive Skin, White Hair, amethyst Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Dutch Braid, small breasts, Threader earrings, terracotta velvet lipstick, Lifting the chest and arching the back, Sailing boats in the distance
Phenom, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Red Hair, Sapphire Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Blunt Cut Bangs, asymmetrical breasts, Faux gauge earrings, green stain lipstick, Standing with feet together, bending one knee and holding the foot with the hand, Cascading water features in gardens
Superwoman, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Gray Hair, blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Curly Afro, soft breasts, Drop earrings, pink velvet lipstick, Sitting on the heels with hands resting on the thighs, focusing on breath, Misty reflections
Female Viking, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, Gray Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, firm breasts, Cuff earrings, cream gloss lipstick, Kneeling with one leg extended forward and hands reaching overhead, Frozen lake in winter
Lady, Tall, Toned, Square Face, Fair Skin, Auburn Hair, Sapphire Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Wavy Updo, firm breasts, Drop earrings, hot pink gloss lipstick, Inverted position with hands and feet on the ground, hips lifted, Crashing ocean waves
Phenom, Tall, Lean, Round Face, Tan Skin, Silver Hair, Blue Eyes with Green Flecks, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Smooth Waves, large breasts, Hoop earrings, berry sheer lipstick, Standing with feet wide apart, bending one knee and keeping the other leg straight, Dramatic stormy skies over water
Starlet, Short, Lean, Round Face, Fair Skin, Golden Blonde Hair, Hazel Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Wedding Updo, firm breasts, Clip-on earrings, green matte lipstick, Lying on the stomach and lifting the legs and upper body, Golden sunlight on sandy shores
Enchantress, Tall, Wide Hips, Round Face, Dark Skin, Dark Brown Hair, Amber Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Fluffy Afro, saggy breasts, Cuff earrings, teal cream lipstick, Bending forward with hands reaching the ground, Droplets on grass blades near water
Siren, Tall, Fit, Oval Face, Olive Skin, Blonde Hair, turquoise Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Fringed Bangs, perky breasts, Threader earrings, light pink gloss lipstick, Lying on the stomach with legs extended and hands under the shoulders, Mysterious misty forest near water
Queen, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Blonde Hair, aquamarine Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid, firm breasts, Drop earrings, grape satin lipstick, Sitting with one leg crossed over the other and twisting the torso, Submerged rocks in a river
Enchantress, Short, Skinny, Oval Face, Dark Skin, Red Hair, ruby Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Boho Braid, full breasts, Threader earrings, teal sheer lipstick, Inverted position with hands and feet on the ground, hips lifted, Foggy coastal landscape
Phenom, Short, Athletic, Round Face, Olive Skin, Honey Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Swept Bangs, augmented breasts, Drop earrings, magenta sheer lipstick, Sitting on the heels and folding the upper body forward with arms extended, Autumn reflections on water
Queen, Average Height, Fit, Oval Face, Fair Skin, Black Hair, Sapphire Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Wavy Layered Bob, augmented breasts, Cuff earrings, beige gloss lipstick, Sitting on the heels with arms extended forward and forehead on the ground, Babbling brook in a forest
Madam, Short, Narrow Hips, Triangular Face, Olive Skin, Chestnut Hair, amber Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Top Knot, full breasts, Drop earrings, orange sheer lipstick, Sitting with legs crossed and twisting the torso to one side, Shimmering city lights reflecting on water
Madam, Average Height, Narrow Hips, Square Face, Fair Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, small breasts, Drop earrings, magenta matte lipstick, Standing with one leg extended forward and reaching for the foot with the hand, Rushing whitewater rapids
Baroness, Tall, Toned, Round Face, Tan Skin, Black Hair, light blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Formal Updo, small breasts, Faux gauge earrings, gloss gloss lipstick, Standing with feet together, bending the upper body forward to touch the ground, Dewy spiderwebs in the morning by water
Babe, Tall, Narrow Hips, Triangular Face, Tan Skin, Chestnut Hair, Amber Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Braided Half Up, augmented breasts, Hoop earrings, violet sheer lipstick, Lying on the back with legs bent and feet close to the buttocks, Rushing whitewater rapids
Gal, Average Height, Athletic, Triangular Face, Dark Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, French Roll, augmented breasts, Dangle earrings, burgundy sheer lipstick, Twisting the torso while sitting, Silhouette of a lone pier by water
