Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Female Warrior, Tall, Fit, Diamond-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Curly Afro, full breasts, Cuff earrings, golden satin lipstick,  inside ((  wearing  Slimfit tracksuit )), Alien planet with bioluminescent flora
Belle, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, White Hair, ice blue Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, asymmetrical breasts, Drop earrings, cream metallic lipstick,  inside ((  wearing  Spandex shorts and compression top )), Alien planet with bioluminescent flora
Lady, Tall, Thin, Square Face, Olive Skin, Gray Hair, brown Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Boho Braid, saggy breasts, , hot pink velvet lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), City floating in the clouds
Dame, Short, Lean, Square Face, Olive Skin, Strawberry Blonde Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, saggy breasts, Faux gauge earrings, burgundy velvet lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Dystopian metropolis
Countess, Short, Fit, Triangular Face, Dark Skin, Red Hair, amethyst Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, Low Updo, saggy breasts, , pink satin lipstick,  inside ((  wearing  Track pants and running singlet )), Desolate lunar surface
Mistress, Average Height, Skinny, Round Face, Fair Skin, Blonde Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, natural breasts, Drop earrings, golden gloss lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Post-apocalyptic wasteland
Luminary, Tall, in shape, Triangular Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Angled Bob, natural breasts, Stud earrings, brown gloss lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Underwater research facility
Miss, Tall, Athletic, Heart-Shaped Face, Dark Skin, Black Hair, Blue Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, asymmetrical breasts, Hoop earrings, black satin lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Barren desert planet
Charmer, Short, Athletic, Square Face, Olive Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, small breasts, Clip-on earrings, orange matte lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Underwater research facility
Superwoman, Average Height, Slim, Round Face, Dark Skin, Golden Blonde Hair, hazel Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wavy Bob, round breasts, Cuff earrings, orange velvet lipstick,  inside ((  wearing  Slimfit tracksuit )), City floating in the clouds
Gal, Short, Toned, Round Face, Fair Skin, Auburn Hair, black Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Crown Braid, asymmetrical breasts, Drop earrings, red stain lipstick,  inside ((  wearing  Track pants and running singlet )), Post-apocalyptic wasteland
Starlet, Short, Athletic, Heart-Shaped Face, Dark Skin, Dark Brown Hair, grey Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Sleek Waves, large breasts, Clip-on earrings, rose stain lipstick,  inside ((  wearing  Surfing wetsuit )), Giant space station
Charmer, Short, Narrow Hips, Square Face, Olive Skin, Blonde Hair, hazel Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Triple Braided Crown, perky breasts, Drop earrings, cherry metallic lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Post-apocalyptic wasteland
Chanteuse, Tall, Wide Hips, Square Face, Fair Skin, Platinum Blonde Hair, brown Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, asymmetrical breasts, Cuff earrings, gloss gloss lipstick,  inside ((  wearing  Golf pants and golf polo )), Underwater research facility
Diva, Average Height, in shape, Oval Face, Olive Skin, Gray Hair, Amber Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Tousled Waves, small breasts, Clip-on earrings, green cream lipstick,  inside ((  wearing  Track pants and running singlet )), Dystopian metropolis
Babe, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, light blue Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Sleek Bun, large breasts, Huggie earrings, green gloss lipstick,  inside ((  wearing  Athletic dress )), Underwater research facility
Maven, Tall, Skinny, Heart-Shaped Face, Olive Skin, Dark Brown Hair, grey-blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Braided Half Up, augmented breasts, Faux gauge earrings, fuchsia metallic lipstick,  inside ((  wearing  Surfing wetsuit )), Desolate lunar surface
Sensation, Tall, Wide Hips, Oval Face, Fair Skin, White Hair, amethyst Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Formal Updo, full breasts, Cuff earrings, black stain lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), City floating in the clouds
Sensation, Average Height, Skinny, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Green Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Afro, full breasts, Drop earrings, burgundy stain lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Dystopian metropolis
Songstress, Tall, Thin, Round Face, Dark Skin, Blonde Hair, Amber Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Braided Half Up, full breasts, Huggie earrings, pink stain lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Giant space station
Charmer, Tall, Firm, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, pink Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Wavy Bob, small breasts, Faux gauge earrings, pink satin lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Underwater research facility
Visionary, Tall, Wide Hips, Oval Face, Dark Skin, White Hair, ruby Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Fauxhawk, augmented breasts, Huggie earrings, burgundy stain lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Post-apocalyptic wasteland
Heiress, Average Height, Lean, Round Face, Fair Skin, Chestnut Hair, green Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Coarse Hair, Low Chignon, perky breasts, Cuff earrings, cream stain lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), City floating in the clouds
Starlet, Average Height, Athletic, Diamond-Shaped Face, Olive Skin, Brunette Hair, grey-blue Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Fine Hair, Herringbone Braid, large breasts, Drop earrings, peach cream lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Frozen tundra with icy mountains
Sensation, Short, Slim, Diamond-Shaped Face, Fair Skin, Red Hair, Blue Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, natural breasts, Faux gauge earrings, pink gloss lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), City floating in the clouds
Escort, Short, Wide Hips, Square Face, Fair Skin, Red Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, round breasts, Hoop earrings, peach satin lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Frozen tundra with icy mountains
Miss, Average Height, Skinny, Oval Face, Tan Skin, Brunette Hair, Hazel Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Lace Braid, soft breasts, Clip-on earrings, rose satin lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Dystopian metropolis
Maven, Tall, in shape, Heart-Shaped Face, Tan Skin, Chestnut Hair, Blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Tapered Afro, asymmetrical breasts, , gloss metallic lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Post-apocalyptic wasteland
Madam, Average Height, Skinny, Triangular Face, Tan Skin, Auburn Hair, Blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, saggy breasts, Clip-on earrings, pink satin lipstick,  inside ((  wearing  Slimfit tracksuit )), Post-apocalyptic wasteland
Diva, Tall, Skinny, Oval Face, Dark Skin, Dark Brown Hair, purple Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Long Straight Hair, saggy breasts, Huggie earrings, beige matte lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Giant space station
Belle, Average Height, Firm, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, black Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Four-Strand Braid, natural breasts, Faux gauge earrings, rose sheer lipstick,  inside ((  wearing  Slimfit tracksuit )), City floating in the clouds
Escort, Short, Skinny, Triangular Face, Tan Skin, Golden Blonde Hair, amethyst Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Top Knot, round breasts, Clip-on earrings, plum cream lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Giant space station
Songstress, Short, Thin, Oval Face, Fair Skin, White Hair, Gray Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Tousled Waves, saggy breasts, Clip-on earrings, cherry cream lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Dystopian metropolis
Luminary, Short, Fit, Square Face, Fair Skin, Black Hair, gold Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Sock Bun, small breasts, Hoop earrings, coral stain lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Alien planet with bioluminescent flora
Trailblazer, Average Height, Slim, Heart-Shaped Face, Tan Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Boho Braid, natural breasts, Dangle earrings, brown gloss lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Post-apocalyptic wasteland
Baroness, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, jade Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Beach Waves, firm breasts, Threader earrings, cream matte lipstick,  inside ((  wearing  Spandex shorts and compression top )), Jungle planet filled with dangerous creatures
Woman, Tall, Toned, Round Face, Fair Skin, Auburn Hair, coral Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Loose Waves, perky breasts, Threader earrings, cream stain lipstick,  inside ((  wearing  Swimwear )), Dystopian metropolis
Heiress, Short, Lean, Triangular Face, Fair Skin, Honey Blonde Hair, red Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Herringbone Braid, firm breasts, Clip-on earrings, peach cream lipstick,  inside ((  wearing  Track pants and running singlet )), Underwater research facility
Countess, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Gray Hair, ice blue Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, firm breasts, Huggie earrings, plum metallic lipstick,  inside ((  wearing  Athletic dress )), Desolate lunar surface
Escort, Short, Narrow Hips, Round Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Voluminous Waves, saggy breasts, Clip-on earrings, gloss satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Jungle planet filled with dangerous creatures
Artist, Tall, Firm, Heart-Shaped Face, Tan Skin, Silver Hair, gold Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fluffy Afro, soft breasts, Hoop earrings, gloss matte lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Desolate lunar surface
Seductress, Average Height, Fit, Round Face, Dark Skin, Chestnut Hair, light blue Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Blunt Bangs, augmented breasts, Faux gauge earrings, lavender sheer lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Alien planet with bioluminescent flora
Songstress, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Red Hair, Gray Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, small breasts, Huggie earrings, beige stain lipstick,  inside ((  wearing  Athletic dress )), City floating in the clouds
Queen, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Green Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Beach Waves, saggy breasts, Faux gauge earrings, brown sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Jungle planet filled with dangerous creatures
Siren, Short, Toned, Triangular Face, Olive Skin, Honey Blonde Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Coarse Hair, Smooth Waves, saggy breasts, Faux gauge earrings, pink metallic lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Giant space station
Babe, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, aquamarine Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Tousled Waves, natural breasts, Clip-on earrings, beige satin lipstick,  inside ((  wearing  Athletic jumpsuit )), Alien planet with bioluminescent flora
Visionary, Average Height, in shape, Heart-Shaped Face, Dark Skin, Blonde Hair, Sapphire Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, saggy breasts, Stud earrings, green matte lipstick,  inside ((  wearing  Running shorts and tank top )), City floating in the clouds
Gal, Average Height, Athletic, Triangular Face, Dark Skin, Platinum Blonde Hair, Gray Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Bouncy Curls, large breasts, Faux gauge earrings, teal sheer lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Giant space station
Vixen, Short, in shape, Square Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Side-Swept Bangs, full breasts, Cuff earrings, teal velvet lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Frozen tundra with icy mountains
Vixen, Tall, Lean, Square Face, Olive Skin, Chestnut Hair, red Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Beach Waves, small breasts, , cherry stain lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Alien planet with bioluminescent flora
Escort, Average Height, in shape, Round Face, Fair Skin, Strawberry Blonde Hair, turquoise Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Blunt Cut Bangs, perky breasts, Threader earrings, cream metallic lipstick,  inside ((  wearing  Slimfit tracksuit )), Giant space station
Mistress, Tall, Fit, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, yellow Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Herringbone Braid, round breasts, Stud earrings, hot pink matte lipstick,  inside ((  wearing  Athletic dress )), Desolate lunar surface
Enigma, Average Height, Firm, Square Face, Olive Skin, Platinum Blonde Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Curly Hair, Layered Bob, small breasts, Clip-on earrings, rose satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Underwater research facility
Woman, Average Height, Toned, Round Face, Dark Skin, Strawberry Blonde Hair, grey Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Tapered Afro, round breasts, Stud earrings, violet cream lipstick,  inside ((  wearing  Athletic jumpsuit )), Post-apocalyptic wasteland
Seductress, Average Height, Narrow Hips, Triangular Face, Dark Skin, Dark Brown Hair, silver Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Side French Braid, soft breasts, Clip-on earrings, mauve gloss lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Underwater research facility
Vixen, Average Height, Athletic, Triangular Face, Tan Skin, Chestnut Hair, black Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Triple Braided Crown, full breasts, Drop earrings, rose gloss lipstick,  inside ((  wearing  Swimwear )), Desolate lunar surface
Babe, Average Height, Lean, Triangular Face, Olive Skin, Strawberry Blonde Hair, silver Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, saggy breasts, Clip-on earrings, mauve cream lipstick,  inside ((  wearing  Surfing wetsuit )), Giant space station
Dame, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Light Brown Hair, hazel Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Angled Bob, full breasts, Hoop earrings, mauve stain lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Post-apocalyptic wasteland
Vixen, Short, Thin, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, coral Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, perky breasts, Threader earrings, hot pink cream lipstick,  inside ((  wearing  Compression top and yoga pants )), Barren desert planet
Femme fatale, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Black Hair, red Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, natural breasts, Cuff earrings, pink cream lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Underwater research facility
Goddess, Average Height, Athletic, Oval Face, Dark Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Waves, large breasts, Hoop earrings, gloss metallic lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Post-apocalyptic wasteland
Siren, Average Height, in shape, Round Face, Fair Skin, Dark Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Straight Hair, soft breasts, Cuff earrings, rust satin lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Underwater research facility
Temptress, Short, Slim, Square Face, Dark Skin, White Hair, silver Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Swept Bangs, asymmetrical breasts, Dangle earrings, grape satin lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Jungle planet filled with dangerous creatures
Duchess, Tall, in shape, Round Face, Dark Skin, Light Brown Hair, turquoise Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Low Ponytail, asymmetrical breasts, Threader earrings, plum metallic lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Underwater research facility
Duchess, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side Bangs, full breasts, Faux gauge earrings, burgundy sheer lipstick,  inside ((  wearing  Track pants and running singlet )), City floating in the clouds
Escort, Short, Thin, Round Face, Fair Skin, Honey Blonde Hair, pink Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Rope Braid, small breasts, Faux gauge earrings, beige gloss lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Desolate lunar surface
Madam, Tall, Toned, Round Face, Tan Skin, White Hair, gold Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, small breasts, Faux gauge earrings, orange satin lipstick,  inside ((  wearing  Running shorts and tank top )), Jungle planet filled with dangerous creatures
Woman, Average Height, Thin, Square Face, Fair Skin, Auburn Hair, jade Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Bun, large breasts, Threader earrings, green satin lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Frozen tundra with icy mountains
Femme fatale, Average Height, Athletic, Oval Face, Dark Skin, Silver Hair, amethyst Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, full breasts, Hoop earrings, lavender velvet lipstick,  inside ((  wearing  Athletic dress )), Post-apocalyptic wasteland
Vixen, Tall, Toned, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Short Afro, small breasts, Hoop earrings, rose sheer lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Giant space station
Luminary, Tall, Toned, Triangular Face, Dark Skin, Auburn Hair, Amber Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Short Afro, full breasts, Huggie earrings, green sheer lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Dystopian metropolis
Goddess, Average Height, Lean, Oval Face, Fair Skin, Brunette Hair, Blue Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Straight Updo, small breasts, Huggie earrings, burgundy matte lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Frozen tundra with icy mountains
Songstress, Average Height, Wide Hips, Square Face, Tan Skin, Black Hair, grey-blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Updo, full breasts, Cuff earrings, plum cream lipstick,  inside ((  wearing  Athletic jumpsuit )), Alien planet with bioluminescent flora
Madame, Tall, Fit, Round Face, Dark Skin, Chestnut Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Braid, soft breasts, Threader earrings, burgundy cream lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Post-apocalyptic wasteland
Superwoman, Tall, Thin, Heart-Shaped Face, Tan Skin, Brunette Hair, black Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Straight Hair, full breasts, Dangle earrings, cherry satin lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Underwater research facility
Madam, Average Height, Narrow Hips, Oval Face, Fair Skin, Gray Hair, coral Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Straight Bob with Layers, augmented breasts, Threader earrings, burgundy stain lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Underwater research facility
Visionary, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Light Brown Hair, silver Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fishtail Crown Braid, natural breasts, Stud earrings, fuchsia gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Dystopian metropolis
Femme fatale, Tall, in shape, Square Face, Dark Skin, Red Hair, green Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Four-Strand Braid, perky breasts, Dangle earrings, cherry metallic lipstick,  inside ((  wearing  Golf pants and golf polo )), City floating in the clouds
Gal, Tall, Skinny, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, peach Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Wavy Updo, natural breasts, Dangle earrings, light pink metallic lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Barren desert planet
Siren, Tall, in shape, Heart-Shaped Face, Dark Skin, Dark Brown Hair, purple Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Bouncy Curls, augmented breasts, Clip-on earrings, golden velvet lipstick,  inside ((  wearing  Athletic jumpsuit )), Barren desert planet
Duchess, Short, Toned, Oval Face, Olive Skin, Strawberry Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, perky breasts, Drop earrings, brown matte lipstick,  inside ((  wearing  Track pants and running singlet )), City floating in the clouds
Female Warrior, Average Height, in shape, Oval Face, Tan Skin, White Hair, gold Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, augmented breasts, Clip-on earrings, coral velvet lipstick,  inside ((  wearing  Athletic jumpsuit )), City floating in the clouds
Woman, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Gray Hair, peach Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, augmented breasts, , pink satin lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Desolate lunar surface
Trailblazer, Short, Athletic, Triangular Face, Tan Skin, White Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fishbone Braid, saggy breasts, Cuff earrings, peach stain lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), City floating in the clouds
Mistress, Average Height, Fit, Heart-Shaped Face, Dark Skin, Black Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, large breasts, Stud earrings, burgundy satin lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Dystopian metropolis
Miss, Average Height, Toned, Round Face, Tan Skin, Brunette Hair, ice blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Updo, small breasts, Cuff earrings, green stain lipstick,  inside ((  wearing  leggings and tank top )), Jungle planet filled with dangerous creatures
Enchantress, Tall, Lean, Square Face, Olive Skin, Light Brown Hair, amethyst Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Fauxhawk, augmented breasts, Dangle earrings, black gloss lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Jungle planet filled with dangerous creatures
Empress, Average Height, Slim, Heart-Shaped Face, Tan Skin, Chestnut Hair, grey-blue Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Sleek Waves, perky breasts, Hoop earrings, peach matte lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Barren desert planet
Babe, Short, Slim, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, Gray Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Sleek Bun, perky breasts, , cream gloss lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), City floating in the clouds
Siren, Tall, Fit, Oval Face, Olive Skin, White Hair, amber Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, round breasts, Huggie earrings, green stain lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Giant space station
Vixen, Average Height, Fit, Round Face, Tan Skin, Silver Hair, purple Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, saggy breasts, Clip-on earrings, light pink gloss lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Frozen tundra with icy mountains
