Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Wrap dresses, Seductress, Tall, Slim, Oval Face, Fair Skin, Platinum Blonde Hair, Hazel Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Low Messy Bun, saggy breasts, Faux gauge earrings, rose velvet lipstick
Spaghetti strap dresses, Phenom, Tall, Narrow Hips, Diamond-Shaped Face, Tan Skin, Black Hair, ice blue Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Shaggy Cut, large breasts, Hoop earrings, terracotta matte lipstick
Rompers, Empress, Average Height, Toned, Round Face, Dark Skin, Black Hair, peach Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, asymmetrical breasts, Huggie earrings, lavender cream lipstick
Halter dresses, Duchess, Average Height, Toned, Round Face, Tan Skin, Auburn Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Sleek Bun, round breasts, Faux gauge earrings, teal cream lipstick
Maxi dresses, Femme fatale, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, jade Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fancy Updo, small breasts, Stud earrings, golden metallic lipstick
Jumpsuits, Female Viking, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Gray Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, firm breasts, Huggie earrings, orange sheer lipstick
Halter dresses, Baroness, Short, Toned, Round Face, Tan Skin, White Hair, hazel Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Formal Updo, augmented breasts, Huggie earrings, light pink cream lipstick
Sleeveless dresses, Goddess, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Auburn Hair, turquoise Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Half Up Half Down, perky breasts, Stud earrings, violet cream lipstick
Sleeveless dresses, Madame, Short, Toned, Square Face, Dark Skin, Golden Blonde Hair, Amber Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, full breasts, Drop earrings, silver metallic lipstick
Sleeveless dresses, Songstress, Tall, Toned, Square Face, Tan Skin, Blonde Hair, green Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Fishbone Braid, saggy breasts, Stud earrings, golden matte lipstick
Off-the-shoulder dresses, Mistress, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, black Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fancy Updo, round breasts, Huggie earrings, burgundy cream lipstick
Jumpsuits, Enchantress, Short, Fit, Square Face, Tan Skin, Brunette Hair, pink Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Smooth Waves, saggy breasts, Threader earrings, cherry metallic lipstick
Sundresses, Dame, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, black Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Bouncy Curls, full breasts, Threader earrings, cream gloss lipstick
Short dresses, Dame, Average Height, Lean, Round Face, Dark Skin, Platinum Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, full breasts, Threader earrings, berry satin lipstick
Off-the-shoulder dresses, Enigma, Short, Athletic, Triangular Face, Dark Skin, Brunette Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, augmented breasts, Hoop earrings, black metallic lipstick
Halter dresses, Phenom, Average Height, Athletic, Heart-Shaped Face, Fair Skin, White Hair, silver Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, soft breasts, Faux gauge earrings, brown metallic lipstick
Spaghetti strap dresses, Escort, Short, Toned, Triangular Face, Tan Skin, Red Hair, Brown Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs, asymmetrical breasts, , grape velvet lipstick
Wrap dresses, Empress, Short, Fit, Round Face, Fair Skin, Gray Hair, brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Fauxhawk, saggy breasts, Cuff earrings, cream metallic lipstick
Strapless dresses, Heiress, Average Height, Narrow Hips, Oval Face, Fair Skin, Silver Hair, ice blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Sleek Waves, asymmetrical breasts, Faux gauge earrings, terracotta cream lipstick
Wrap dresses, Seductress, Tall, Toned, Heart-Shaped Face, Tan Skin, Blonde Hair, Brown Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, full breasts, , pink matte lipstick
Rompers, Enchantress, Average Height, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, peach Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Loose Waves, asymmetrical breasts, Faux gauge earrings, green cream lipstick
Sleeveless dresses, Seductress, Short, Skinny, Diamond-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Tapered Afro, round breasts, Dangle earrings, red cream lipstick
Sleeveless dresses, Goddess, Short, Thin, Triangular Face, Dark Skin, Red Hair, Brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Straight Bob, large breasts, Cuff earrings, burgundy metallic lipstick
Jumpsuits, Charmer, Average Height, Toned, Oval Face, Tan Skin, Gray Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, asymmetrical breasts, Stud earrings, light pink matte lipstick
Sleeveless dresses, Queen, Average Height, in shape, Heart-Shaped Face, Dark Skin, Red Hair, amber Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Bob with Bangs, saggy breasts, Clip-on earrings, soft pink velvet lipstick
Sundresses, Enchantress, Average Height, Firm, Oval Face, Tan Skin, Gray Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, natural breasts, Cuff earrings, black gloss lipstick
Short dresses, Starlet, Short, Slim, Round Face, Tan Skin, Chestnut Hair, grey Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Shaggy Cut, round breasts, Clip-on earrings, peach matte lipstick
Wrap dresses, Starlet, Tall, Lean, Square Face, Fair Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, soft breasts, , cherry matte lipstick
Maxi dresses, Chanteuse, Short, Athletic, Oval Face, Olive Skin, Red Hair, yellow Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Messy Top Knot, soft breasts, Clip-on earrings, rust satin lipstick
Off-the-shoulder dresses, Goddess, Average Height, Fit, Triangular Face, Dark Skin, Light Brown Hair, blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, perky breasts, Huggie earrings, mauve satin lipstick
Halter dresses, Madam, Short, Slim, Square Face, Tan Skin, Black Hair, blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, Stacked Bob, natural breasts, Dangle earrings, magenta matte lipstick
Strapless dresses, Artist, Short, Skinny, Triangular Face, Olive Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Short Afro, perky breasts, Faux gauge earrings, magenta metallic lipstick
Wrap dresses, Female Viking, Short, Athletic, Diamond-Shaped Face, Tan Skin, Red Hair, dark brown Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Rope Braid, perky breasts, Cuff earrings, plum gloss lipstick
Sundresses, Mistress, Average Height, Firm, Square Face, Dark Skin, Strawberry Blonde Hair, grey-blue Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, saggy breasts, Drop earrings, magenta metallic lipstick
Rompers, Woman, Tall, Slim, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, small breasts, Faux gauge earrings, berry sheer lipstick
Sleeveless dresses, Mistress, Short, Thin, Triangular Face, Tan Skin, Strawberry Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Long Wavy Hair, natural breasts, Drop earrings, rust cream lipstick
Rompers, Miss, Average Height, Wide Hips, Round Face, Dark Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Afro, saggy breasts, Drop earrings, beige cream lipstick
Rompers, Madam, Short, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, natural breasts, Stud earrings, light pink matte lipstick
Sleeveless dresses, Woman, Tall, Fit, Round Face, Olive Skin, Silver Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Dutch Braid, large breasts, Drop earrings, violet matte lipstick
Off-the-shoulder dresses, Maven, Tall, Thin, Oval Face, Dark Skin, Golden Blonde Hair, amethyst Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, High Ponytail, natural breasts, Huggie earrings, green cream lipstick
Halter dresses, Duchess, Tall, Athletic, Oval Face, Tan Skin, Platinum Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Straight Bob with Layers, large breasts, Huggie earrings, green metallic lipstick
Strapless dresses, Trailblazer, Tall, Thin, Square Face, Fair Skin, Auburn Hair, Sapphire Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Low Chignon, round breasts, Faux gauge earrings, rust matte lipstick
Rompers, Temptress, Average Height, Skinny, Triangular Face, Dark Skin, Platinum Blonde Hair, pink Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Messy Top Knot, natural breasts, Cuff earrings, soft pink velvet lipstick
Maxi dresses, Temptress, Average Height, Fit, Triangular Face, Tan Skin, Auburn Hair, silver Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, natural breasts, Faux gauge earrings, cherry satin lipstick
Jumpsuits, Countess, Short, Skinny, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, amber Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Afro, firm breasts, Stud earrings, pink satin lipstick
Halter dresses, Songstress, Short, in shape, Oval Face, Fair Skin, Gray Hair, Blue Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Stacked Bob, soft breasts, , soft pink satin lipstick
Strapless dresses, Female Warrior, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, natural breasts, Hoop earrings, coral velvet lipstick
Strapless dresses, Visionary, Average Height, Toned, Triangular Face, Fair Skin, Auburn Hair, Hazel Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Top Knot, asymmetrical breasts, Huggie earrings, green gloss lipstick
Wrap dresses, Mistress, Short, Slim, Square Face, Dark Skin, Blonde Hair, green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, asymmetrical breasts, Drop earrings, burgundy sheer lipstick
Short dresses, Superwoman, Short, Firm, Square Face, Tan Skin, Gray Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bangs with Highlights, perky breasts, Clip-on earrings, peach cream lipstick
Halter dresses, Sensation, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Silver Hair, grey-blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, full breasts, , orange velvet lipstick
Caftans, Empress, Short, Slim, Triangular Face, Dark Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, perky breasts, Drop earrings, teal stain lipstick
Sleeveless dresses, Madam, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Wavy Updo, augmented breasts, Huggie earrings, teal gloss lipstick
Short dresses, Madame, Short, Slim, Square Face, Tan Skin, Dark Brown Hair, silver Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, augmented breasts, Huggie earrings, red velvet lipstick
Maxi dresses, Countess, Average Height, Lean, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, augmented breasts, Drop earrings, brown sheer lipstick
Rompers, Queen, Tall, in shape, Heart-Shaped Face, Tan Skin, Gray Hair, red Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, full breasts, Cuff earrings, soft pink gloss lipstick
Strapless dresses, Seductress, Short, in shape, Round Face, Fair Skin, Platinum Blonde Hair, ruby Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, large breasts, , fuchsia sheer lipstick
Sleeveless dresses, Trailblazer, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, pink Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, firm breasts, Drop earrings, berry metallic lipstick
Rompers, Babe, Average Height, Wide Hips, Square Face, Dark Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Four-Strand Braid, natural breasts, Stud earrings, coral gloss lipstick
Short dresses, Starlet, Short, Slim, Diamond-Shaped Face, Fair Skin, Black Hair, Blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Sleek Bun, perky breasts, Threader earrings, burgundy matte lipstick
Sleeveless dresses, Woman, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Gray Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Curly Afro, soft breasts, Drop earrings, fuchsia stain lipstick
Spaghetti strap dresses, Madame, Short, Firm, Heart-Shaped Face, Fair Skin, White Hair, aquamarine Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, firm breasts, Huggie earrings, fuchsia stain lipstick
Wrap dresses, Phenom, Short, in shape, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Amber Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, High Chignon, augmented breasts, Dangle earrings, brown cream lipstick
Off-the-shoulder dresses, Songstress, Tall, Skinny, Triangular Face, Tan Skin, Blonde Hair, peach Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Voluminous Waves, asymmetrical breasts, , pink cream lipstick
Caftans, Femme fatale, Tall, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Side French Braid, perky breasts, Hoop earrings, brown matte lipstick
Jumpsuits, Baroness, Short, Fit, Oval Face, Dark Skin, Blonde Hair, dark brown Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Side-Swept Bangs, asymmetrical breasts, Dangle earrings, rose cream lipstick
Caftans, Queen, Short, Fit, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Top Knot, full breasts, Stud earrings, teal velvet lipstick
Wrap dresses, Siren, Tall, Skinny, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Braid, asymmetrical breasts, Drop earrings, soft pink velvet lipstick
Halter dresses, Female Viking, Average Height, Firm, Heart-Shaped Face, Fair Skin, Light Brown Hair, teal Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Side French Braid, firm breasts, Hoop earrings, mauve satin lipstick
Maxi dresses, Luminary, Short, Firm, Triangular Face, Fair Skin, Platinum Blonde Hair, green Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown, saggy breasts, Dangle earrings, peach gloss lipstick
Spaghetti strap dresses, Duchess, Short, Firm, Triangular Face, Dark Skin, White Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, High Bun, soft breasts, Dangle earrings, lavender matte lipstick
Sleeveless dresses, Goddess, Average Height, Narrow Hips, Square Face, Dark Skin, Dark Brown Hair, green Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Half Up, perky breasts, Hoop earrings, cherry gloss lipstick
Caftans, Femme fatale, Short, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, small breasts, Cuff earrings, orange satin lipstick
Sundresses, Superwoman, Tall, Thin, Triangular Face, Tan Skin, Blonde Hair, grey Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Wavy Layered Bob, firm breasts, Threader earrings, rust sheer lipstick
Strapless dresses, Heiress, Average Height, Firm, Oval Face, Tan Skin, Chestnut Hair, ice blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, High Ponytail, augmented breasts, Hoop earrings, berry satin lipstick
Caftans, Woman, Tall, Slim, Triangular Face, Fair Skin, Black Hair, gold Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, round breasts, Threader earrings, green cream lipstick
Strapless dresses, Escort, Short, in shape, Triangular Face, Dark Skin, Red Hair, Green Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Afro, perky breasts, Huggie earrings, black stain lipstick
Maxi dresses, Heiress, Average Height, Thin, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, grey-blue Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, asymmetrical breasts, Hoop earrings, cherry sheer lipstick
Halter dresses, Diva, Average Height, Fit, Heart-Shaped Face, Tan Skin, Chestnut Hair, turquoise Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Braided Half Up, saggy breasts, Hoop earrings, berry gloss lipstick
Sundresses, Artist, Average Height, in shape, Heart-Shaped Face, Tan Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Curly Hair, Ballerina Bun, asymmetrical breasts, Threader earrings, light pink sheer lipstick
Caftans, Phenom, Short, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Donut Bun, saggy breasts, Threader earrings, rose stain lipstick
Wrap dresses, Madam, Tall, Thin, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, perky breasts, Hoop earrings, beige metallic lipstick
Off-the-shoulder dresses, Mistress, Average Height, Firm, Triangular Face, Olive Skin, Silver Hair, light blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Beach Waves, full breasts, Cuff earrings, rose satin lipstick
Off-the-shoulder dresses, Enchantress, Average Height, in shape, Heart-Shaped Face, Tan Skin, Brunette Hair, grey Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, French Braid, full breasts, Faux gauge earrings, mauve velvet lipstick
Strapless dresses, Madam, Short, Narrow Hips, Triangular Face, Fair Skin, Platinum Blonde Hair, peach Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Updo, asymmetrical breasts, Hoop earrings, green stain lipstick
Maxi dresses, Duchess, Tall, in shape, Round Face, Tan Skin, Honey Blonde Hair, pink Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wavy Updo, soft breasts, Cuff earrings, burgundy matte lipstick
Rompers, Dame, Average Height, Skinny, Round Face, Olive Skin, Brunette Hair, purple Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Tousled Waves, firm breasts, Dangle earrings, rust matte lipstick
Rompers, Goddess, Short, Firm, Triangular Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Wedding Updo, augmented breasts, Dangle earrings, violet metallic lipstick
Short dresses, Female Warrior, Short, in shape, Square Face, Fair Skin, Honey Blonde Hair, yellow Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Bun, round breasts, Threader earrings, rose cream lipstick
Sleeveless dresses, Siren, Tall, Athletic, Round Face, Dark Skin, Strawberry Blonde Hair, amethyst Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Curly Afro, perky breasts, Huggie earrings, rust metallic lipstick
Spaghetti strap dresses, Empress, Tall, Firm, Square Face, Olive Skin, Gray Hair, teal Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, soft breasts, Cuff earrings, pink sheer lipstick
Short dresses, Gal, Short, Athletic, Oval Face, Dark Skin, Honey Blonde Hair, pink Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Rope Braid, firm breasts, Huggie earrings, berry sheer lipstick
Caftans, Female Viking, Average Height, Skinny, Oval Face, Fair Skin, Honey Blonde Hair, ruby Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, High Ponytail, full breasts, , grape cream lipstick
Caftans, Songstress, Tall, Toned, Round Face, Dark Skin, Dark Brown Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, asymmetrical breasts, Hoop earrings, soft pink metallic lipstick
Halter dresses, Sensation, Tall, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Half Up Half Down, perky breasts, , coral velvet lipstick
Spaghetti strap dresses, Dame, Average Height, Thin, Square Face, Dark Skin, Platinum Blonde Hair, Sapphire Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Bangs with Highlights, firm breasts, Huggie earrings, rust satin lipstick
Off-the-shoulder dresses, Gal, Average Height, Wide Hips, Oval Face, Olive Skin, Chestnut Hair, red Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, full breasts, Dangle earrings, light pink matte lipstick
Rompers, Lady, Short, in shape, Round Face, Olive Skin, Black Hair, aquamarine Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Side French Braid, natural breasts, , soft pink satin lipstick
Caftans, Countess, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, ruby Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Sleek Straight Hair, full breasts, Drop earrings, brown metallic lipstick
Spaghetti strap dresses, Escort, Short, Firm, Oval Face, Olive Skin, Golden Blonde Hair, turquoise Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Tapered Afro, saggy breasts, , red cream lipstick
Rompers, Babe, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, full breasts, Dangle earrings, mauve sheer lipstick
Caftans, Baroness, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Gray Hair, green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, perky breasts, Huggie earrings, red satin lipstick
Wrap dresses, Gal, Average Height, Toned, Triangular Face, Tan Skin, Gray Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bob with Bangs, round breasts, Threader earrings, magenta cream lipstick
Short dresses, Siren, Tall, Thin, Triangular Face, Olive Skin, Blonde Hair, Hazel Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Clip-on earrings, peach matte lipstick
Halter dresses, Goddess, Short, Firm, Round Face, Tan Skin, Brunette Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Middle Part Bangs, augmented breasts, Huggie earrings, berry matte lipstick
Jumpsuits, Empress, Tall, Lean, Oval Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, natural breasts, , magenta stain lipstick
Sundresses, Lady, Tall, Thin, Square Face, Dark Skin, Platinum Blonde Hair, silver Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Layered Bob, augmented breasts, , peach stain lipstick
Wrap dresses, Escort, Average Height, Narrow Hips, Round Face, Olive Skin, Auburn Hair, aquamarine Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Sock Bun, full breasts, Hoop earrings, lavender metallic lipstick
Sleeveless dresses, Starlet, Tall, Thin, Triangular Face, Olive Skin, Light Brown Hair, silver Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Curly Hair, Donut Bun, saggy breasts, , hot pink metallic lipstick
Jumpsuits, Woman, Tall, Athletic, Heart-Shaped Face, Olive Skin, White Hair, Hazel Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Fishtail Crown Braid, round breasts, Stud earrings, hot pink sheer lipstick
Jumpsuits, Phenom, Tall, Thin, Round Face, Olive Skin, Honey Blonde Hair, peach Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, natural breasts, Cuff earrings, black sheer lipstick
Halter dresses, Songstress, Short, Wide Hips, Round Face, Tan Skin, Dark Brown Hair, grey Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Viking Braid, asymmetrical breasts, Stud earrings, orange cream lipstick
Rompers, Femme fatale, Tall, in shape, Oval Face, Dark Skin, White Hair, ruby Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Beach Waves, soft breasts, Stud earrings, teal matte lipstick
