Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, beaded necklace, Siren, Average Height, Thin, Oval Face, Olive Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Formal Braided Updo, small breasts, Cuff earrings, soft pink matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
Beryllium, friendship bracelet, Belle, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, White Hair, blue Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Blunt Cut Bangs, augmented breasts, Threader earrings, red velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Radium, collar necklace, Starlet, Short, Thin, Triangular Face, Fair Skin, Gray Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, French Twist, firm breasts, Clip-on earrings, fuchsia matte lipstick, Black Cutout Bodysuit with Zipper
Silver, necklace, Baroness, Short, Skinny, Diamond-Shaped Face, Fair Skin, Red Hair, black Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Tapered Afro, asymmetrical breasts, Drop earrings, magenta satin lipstick, Black Lace Bustier
Rhodium, choker, Songstress, Average Height, Firm, Oval Face, Fair Skin, Black Hair, jade Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Formal Braided Updo, soft breasts, Huggie earrings, grape sheer lipstick, Charcoal Sheer Bra and Panty Set
Silver, flower brooch, Superwoman, Short, Toned, Oval Face, Olive Skin, Chestnut Hair, jade Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Braided Crown, full breasts, Huggie earrings, beige velvet lipstick, Maroon Satin and Lace Corset 
Beryllium, ankle bracelet, Maven, Average Height, Thin, Heart-Shaped Face, Olive Skin, Chestnut Hair, red Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Side Bangs, natural breasts, Dangle earrings, brown matte lipstick, Black Sheer Teddy with Floral Applique
Palladium, cocktail ring, Diva, Average Height, Slim, Heart-Shaped Face, Olive Skin, Platinum Blonde Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Half Up Half Down, firm breasts, Huggie earrings, soft pink metallic lipstick, Silver Sequin Bralette
Beryllium, necklace, Luminary, Short, Slim, Triangular Face, Tan Skin, Gray Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Fine Hair, Straight Updo, soft breasts, Threader earrings, gloss velvet lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, choker, Gal, Tall, Slim, Triangular Face, Olive Skin, White Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Double Braided Crown, asymmetrical breasts, Hoop earrings, silver metallic lipstick, Fuchsia Mesh Halter Bra and Panty Set
Platinum, collar necklace, Heiress, Short, Slim, Diamond-Shaped Face, Fair Skin, Light Brown Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Double Braided Crown, full breasts, Faux gauge earrings, lavender gloss lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Germanium, brooch, Visionary, Tall, Fit, Heart-Shaped Face, Olive Skin, Gray Hair, Gray Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Tousled Waves, full breasts, Faux gauge earrings, hot pink matte lipstick, White Sheer Teddy with Lace Trim
Rhodium, brooch, Empress, Tall, Thin, Triangular Face, Tan Skin, Black Hair, brown Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Straight Hair, Bun, large breasts, Huggie earrings, brown cream lipstick, Yellow Lace Halter Bralette and Thong Set
Ruthenium, slave bracelet, Belle, Short, Skinny, Triangular Face, Tan Skin, Dark Brown Hair, Green Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Bouncy Curls, small breasts, Hoop earrings, rust stain lipstick, Pink Lace Garter Slip with Matching Thong
Silver, toe ring, Heiress, Short, Fit, Diamond-Shaped Face, Fair Skin, Silver Hair, ice blue Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Stacked Bob, natural breasts, Cuff earrings, pink velvet lipstick, Black Cutout Bodysuit with Zipper
Tantalum, choker, Woman, Tall, Athletic, Triangular Face, Olive Skin, Honey Blonde Hair, silver Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Sock Bun, asymmetrical breasts, Threader earrings, rose gloss lipstick, Orange Satin Slip
Osmium, tennis bracelet, Female Warrior, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, hazel Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Bun, natural breasts, Cuff earrings, violet metallic lipstick, Red Lace Bra and Panty Set with Garter Belt
Rhenium, multi-strand necklace, Songstress, Average Height, Skinny, Oval Face, Olive Skin, Black Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Herringbone Braid, perky breasts, , black satin lipstick, Silver Sequin Bralette
Gallium, flower brooch, Luminary, Average Height, Athletic, Triangular Face, Fair Skin, Gray Hair, red Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Double Braided Crown, natural breasts, Threader earrings, magenta matte lipstick, Orange Satin Slip
Gold, tassel necklace, Artist, Tall, Fit, Oval Face, Dark Skin, Blonde Hair, silver Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, perky breasts, Drop earrings, rust matte lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Rhenium, anklet, Visionary, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Auburn Hair, Blue Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Bun, soft breasts, , plum matte lipstick, Grey Faux Leather Corset 
Rhodium, chain necklace, Maven, Short, Wide Hips, Round Face, Fair Skin, Black Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob, asymmetrical breasts, , teal sheer lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Palladium, brooch pin, Dame, Average Height, in shape, Triangular Face, Dark Skin, Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Chignon, round breasts, Hoop earrings, soft pink velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Cadmium, collar necklace, Luminary, Short, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, grey Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Fringed Bangs, saggy breasts, , black velvet lipstick, Blue Satin and Lace Cami and Short Set
Silver, cocktail ring, Vixen, Average Height, Lean, Oval Face, Tan Skin, Black Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Blunt Cut Bangs, asymmetrical breasts, Stud earrings, violet velvet lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Ruthenium, vintage brooch, Dame, Short, Firm, Square Face, Tan Skin, Chestnut Hair, brown Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Straight Hair, small breasts, Clip-on earrings, terracotta satin lipstick, Plum Satin and Lace Bustier 
Cadmium, vintage brooch, Duchess, Average Height, Firm, Triangular Face, Olive Skin, Chestnut Hair, yellow Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, round breasts, Stud earrings, peach metallic lipstick, Mint Green Mesh Teddy 
Rhodium, chain necklace, Vixen, Short, Wide Hips, Square Face, Fair Skin, White Hair, dark brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, small breasts, Threader earrings, hot pink satin lipstick, Black Cutout Bodysuit with Zipper
Ruthenium, tassel necklace, Countess, Tall, Athletic, Square Face, Fair Skin, Auburn Hair, grey-blue Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Fringed Bangs, saggy breasts, Dangle earrings, beige matte lipstick, Tan Faux Leather Slip Dress
Indium, pearl necklace, Enigma, Tall, Lean, Triangular Face, Tan Skin, Platinum Blonde Hair, black Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Waterfall Braid, soft breasts, Hoop earrings, teal cream lipstick, Lavender Lace Bra and Panty Set 
Osmium, ankle cuff, Sensation, Short, Lean, Square Face, Fair Skin, Brunette Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Shaggy Cut, augmented breasts, Dangle earrings, burgundy matte lipstick, Red Mesh Chemise with Strappy Back Detail
Ruthenium, torc necklace, Escort, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Silver Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Formal Braided Updo, augmented breasts, Cuff earrings, gloss stain lipstick, Blue Sheer Babydoll with Satin Trim
Silver, beaded necklace, Goddess, Short, Athletic, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Layered Bob, full breasts, Threader earrings, plum metallic lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, charm bracelet, Superwoman, Short, Athletic, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Formal Braided Updo, small breasts, Threader earrings, violet gloss lipstick, Navy Blue Satin Garter Belt with Suspenders 
Iridium, beaded necklace, Temptress, Tall, Firm, Diamond-Shaped Face, Olive Skin, Red Hair, dark brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Low Updo, augmented breasts, , plum satin lipstick, Ivory Lace Teddy
Indium, cocktail ring, Empress, Average Height, Toned, Oval Face, Fair Skin, Brunette Hair, pink Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, full breasts, Drop earrings, lavender metallic lipstick, Blue Satin and Lace Cami and Short Set
Radium, cocktail ring, Superwoman, Short, Toned, Triangular Face, Olive Skin, Light Brown Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, augmented breasts, Hoop earrings, gloss gloss lipstick, Lavender Lace Bra and Panty Set 
Beryllium, locket necklace, Babe, Tall, Toned, Round Face, Fair Skin, Brunette Hair, jade Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Boho Braid, round breasts, Dangle earrings, soft pink cream lipstick, Blue Sheer Babydoll with Satin Trim
Cadmium, bangle bracelet, Belle, Average Height, Athletic, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, grey-blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Long Curly Hair, soft breasts, , shimmer metallic lipstick, Charcoal Sheer Bra and Panty Set
Radium, tassel necklace, Songstress, Average Height, Thin, Heart-Shaped Face, Tan Skin, Black Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Messy Bun, natural breasts, Clip-on earrings, orange matte lipstick, White Lace Bralette and Boyshorts Set
Tantalum, torc necklace, Babe, Tall, in shape, Heart-Shaped Face, Tan Skin, Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Bangs with Highlights, firm breasts, Huggie earrings, terracotta gloss lipstick, Ivory Lace Teddy
Rhenium, statement necklace, Songstress, Tall, Firm, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Low Chignon, small breasts, Dangle earrings, violet gloss lipstick, Tan Faux Leather Slip Dress
Iridium, beaded bracelet, Charmer, Tall, in shape, Round Face, Fair Skin, Red Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Twisted Bun, perky breasts, Cuff earrings, hot pink sheer lipstick, Tan Faux Leather Slip Dress
Iridium, beaded bracelet, Phenom, Average Height, Lean, Square Face, Fair Skin, Silver Hair, hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Bun, firm breasts, Huggie earrings, fuchsia metallic lipstick, Tan Faux Leather Slip Dress
Osmium, multi-strand necklace, Goddess, Short, Athletic, Square Face, Dark Skin, Honey Blonde Hair, green Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fringed Bangs, saggy breasts, Huggie earrings, violet stain lipstick, Grey Faux Leather Corset 
Radium, ankle cuff, Artist, Tall, Athletic, Square Face, Tan Skin, Platinum Blonde Hair, ruby Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Blunt Cut Bangs, asymmetrical breasts, Drop earrings, black metallic lipstick, Red Lace Bra and Panty Set with Garter Belt
Indium, chain necklace, Seductress, Tall, Slim, Oval Face, Fair Skin, Platinum Blonde Hair, Hazel Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Low Messy Bun, saggy breasts, Faux gauge earrings, rose velvet lipstick, Teal Velvet Chemise with Ruffles 
Rhodium, brooch pin, Phenom, Tall, Narrow Hips, Diamond-Shaped Face, Tan Skin, Black Hair, ice blue Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Shaggy Cut, large breasts, Hoop earrings, terracotta matte lipstick, Green Satin Robe with Lace Trim
Beryllium, tennis bracelet, Empress, Average Height, Toned, Round Face, Dark Skin, Black Hair, peach Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, asymmetrical breasts, Huggie earrings, lavender cream lipstick, Silver Silk Bra and Panty Set with Garter Belt
Palladium, bangle bracelet, Duchess, Average Height, Toned, Round Face, Tan Skin, Auburn Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Sleek Bun, round breasts, Faux gauge earrings, teal cream lipstick, Pink Lace Garter Slip with Matching Thong
Gallium, pendant, Femme fatale, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, jade Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fancy Updo, small breasts, Stud earrings, golden metallic lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Rhenium, friendship bracelet, Female Viking, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Gray Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, firm breasts, Huggie earrings, orange sheer lipstick, Brown Strappy Bodysuit
Osmium, vintage brooch, Baroness, Short, Toned, Round Face, Tan Skin, White Hair, hazel Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Formal Updo, augmented breasts, Huggie earrings, light pink cream lipstick, Silver Sequin Bralette
Indium, animal brooch, Goddess, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Auburn Hair, turquoise Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Half Up Half Down, perky breasts, Stud earrings, violet cream lipstick, Green Satin Robe with Lace Trim
Rhodium, chain necklace, Madame, Short, Toned, Square Face, Dark Skin, Golden Blonde Hair, Amber Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, full breasts, Drop earrings, silver metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Beryllium, ankle strap, Songstress, Tall, Toned, Square Face, Tan Skin, Blonde Hair, green Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Fishbone Braid, saggy breasts, Stud earrings, golden matte lipstick, Green Satin Robe with Lace Trim
Gallium, tennis necklace, Mistress, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, black Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fancy Updo, round breasts, Huggie earrings, burgundy cream lipstick, Tan Faux Leather Slip Dress
Cadmium, anklet, Enchantress, Short, Fit, Square Face, Tan Skin, Brunette Hair, pink Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Smooth Waves, saggy breasts, Threader earrings, cherry metallic lipstick, Grey Faux Leather Corset 
Gold, multi-strand necklace, Dame, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, black Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Bouncy Curls, full breasts, Threader earrings, cream gloss lipstick, Grey Faux Leather Corset 
Ruthenium, choker, Dame, Average Height, Lean, Round Face, Dark Skin, Platinum Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, full breasts, Threader earrings, berry satin lipstick, Pink Lace Garter Slip with Matching Thong
Rhenium, tassel necklace, Enigma, Short, Athletic, Triangular Face, Dark Skin, Brunette Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, augmented breasts, Hoop earrings, black metallic lipstick, Black Cutout Bodysuit with Zipper
Rhenium, torc necklace, Phenom, Average Height, Athletic, Heart-Shaped Face, Fair Skin, White Hair, silver Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, soft breasts, Faux gauge earrings, brown metallic lipstick, Brown Strappy Bodysuit
Rhenium, friendship bracelet, Escort, Short, Toned, Triangular Face, Tan Skin, Red Hair, Brown Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs, asymmetrical breasts, , grape velvet lipstick, Red Lace Bra and Panty Set with Garter Belt
Cadmium, beaded necklace, Empress, Short, Fit, Round Face, Fair Skin, Gray Hair, brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Fauxhawk, saggy breasts, Cuff earrings, cream metallic lipstick, Mint Green Mesh Teddy 
Cadmium, charm bracelet, Heiress, Average Height, Narrow Hips, Oval Face, Fair Skin, Silver Hair, ice blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Sleek Waves, asymmetrical breasts, Faux gauge earrings, terracotta cream lipstick, Blue Satin and Lace Cami and Short Set
Beryllium, statement necklace, Seductress, Tall, Toned, Heart-Shaped Face, Tan Skin, Blonde Hair, Brown Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, full breasts, , pink matte lipstick, Silver Sequin Bralette
Germanium, animal brooch, Enchantress, Average Height, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, peach Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Loose Waves, asymmetrical breasts, Faux gauge earrings, green cream lipstick, Grey Faux Leather Corset 
Beryllium, statement necklace, Seductress, Short, Skinny, Diamond-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Tapered Afro, round breasts, Dangle earrings, red cream lipstick, Blue Satin and Lace Cami and Short Set
Rhenium, brooch, Goddess, Short, Thin, Triangular Face, Dark Skin, Red Hair, Brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Straight Bob, large breasts, Cuff earrings, burgundy metallic lipstick, Silver Sequin Bralette
Radium, ankle cuff, Charmer, Average Height, Toned, Oval Face, Tan Skin, Gray Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, asymmetrical breasts, Stud earrings, light pink matte lipstick, Green Silk Bralette and Panty Set
Silver, torc necklace, Queen, Average Height, in shape, Heart-Shaped Face, Dark Skin, Red Hair, amber Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Bob with Bangs, saggy breasts, Clip-on earrings, soft pink velvet lipstick, Brown Strappy Bodysuit
Platinum, bib necklace, Enchantress, Average Height, Firm, Oval Face, Tan Skin, Gray Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, natural breasts, Cuff earrings, black gloss lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Gallium, toe ring, Starlet, Short, Slim, Round Face, Tan Skin, Chestnut Hair, grey Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Shaggy Cut, round breasts, Clip-on earrings, peach matte lipstick, Plum Satin and Lace Bustier 
Silver, bib necklace, Starlet, Tall, Lean, Square Face, Fair Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, soft breasts, , cherry matte lipstick, Green Silk Bralette and Panty Set
Germanium, beaded necklace, Chanteuse, Short, Athletic, Oval Face, Olive Skin, Red Hair, yellow Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Messy Top Knot, soft breasts, Clip-on earrings, rust satin lipstick, Plum Satin and Lace Bustier 
Radium, beaded bracelet, Goddess, Average Height, Fit, Triangular Face, Dark Skin, Light Brown Hair, blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, perky breasts, Huggie earrings, mauve satin lipstick, Pink Floral Corset
Radium, brooch pin, Madam, Short, Slim, Square Face, Tan Skin, Black Hair, blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, Stacked Bob, natural breasts, Dangle earrings, magenta matte lipstick, Black Leather Bralette and Panty Set
Osmium, chain bracelet, Artist, Short, Skinny, Triangular Face, Olive Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Short Afro, perky breasts, Faux gauge earrings, magenta metallic lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Tantalum, brooch pin, Female Viking, Short, Athletic, Diamond-Shaped Face, Tan Skin, Red Hair, dark brown Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Rope Braid, perky breasts, Cuff earrings, plum gloss lipstick, Red Lace Bra and Panty Set with Garter Belt
Gold, bracelet, Mistress, Average Height, Firm, Square Face, Dark Skin, Strawberry Blonde Hair, grey-blue Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, saggy breasts, Drop earrings, magenta metallic lipstick, Blue Sheer Babydoll with Satin Trim
Indium, tennis necklace, Woman, Tall, Slim, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, small breasts, Faux gauge earrings, berry sheer lipstick, Tan Faux Leather Slip Dress
Ruthenium, tennis necklace, Mistress, Short, Thin, Triangular Face, Tan Skin, Strawberry Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Long Wavy Hair, natural breasts, Drop earrings, rust cream lipstick, Yellow Lace Garter Belt 
Ruthenium, bracelet, Miss, Average Height, Wide Hips, Round Face, Dark Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Afro, saggy breasts, Drop earrings, beige cream lipstick, Crimson Velvet Cami and Short Set 
Rhenium, tassel necklace, Madam, Short, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, natural breasts, Stud earrings, light pink matte lipstick, Orange Satin Slip
Silver, watch bracelet, Woman, Tall, Fit, Round Face, Olive Skin, Silver Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Dutch Braid, large breasts, Drop earrings, violet matte lipstick, Purple Velvet Robe with Fur Trim 
Beryllium, chain necklace, Maven, Tall, Thin, Oval Face, Dark Skin, Golden Blonde Hair, amethyst Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, High Ponytail, natural breasts, Huggie earrings, green cream lipstick, Black Mesh Bodysuit with Embroidered Flowers
Germanium, slave bracelet, Duchess, Tall, Athletic, Oval Face, Tan Skin, Platinum Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Straight Bob with Layers, large breasts, Huggie earrings, green metallic lipstick, Orange Satin Slip
Indium, bracelet, Trailblazer, Tall, Thin, Square Face, Fair Skin, Auburn Hair, Sapphire Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Low Chignon, round breasts, Faux gauge earrings, rust matte lipstick, Turquoise Sheer Chemise with Cutouts
Iridium, necklace, Temptress, Average Height, Skinny, Triangular Face, Dark Skin, Platinum Blonde Hair, pink Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Messy Top Knot, natural breasts, Cuff earrings, soft pink velvet lipstick, Blue Strappy Bodysuit with Cutouts
Iridium, toe ring, Temptress, Average Height, Fit, Triangular Face, Tan Skin, Auburn Hair, silver Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, natural breasts, Faux gauge earrings, cherry satin lipstick, Tan Faux Leather Slip Dress
Gold, tennis necklace, Countess, Short, Skinny, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, amber Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Afro, firm breasts, Stud earrings, pink satin lipstick, Yellow Lace Garter Belt 
Indium, ankle cuff, Songstress, Short, in shape, Oval Face, Fair Skin, Gray Hair, Blue Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Stacked Bob, soft breasts, , soft pink satin lipstick, Cream Sequin Bra and Pant Set
Iridium, tassel necklace, Female Warrior, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, natural breasts, Hoop earrings, coral velvet lipstick, Tan Faux Leather Slip Dress
Gold, flower brooch, Visionary, Average Height, Toned, Triangular Face, Fair Skin, Auburn Hair, Hazel Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Top Knot, asymmetrical breasts, Huggie earrings, green gloss lipstick, Teal Velvet Chemise with Ruffles 
Gallium, watch bracelet, Mistress, Short, Slim, Square Face, Dark Skin, Blonde Hair, green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, asymmetrical breasts, Drop earrings, burgundy sheer lipstick, Mint Green Mesh Teddy 
Germanium, bangle bracelet, Superwoman, Short, Firm, Square Face, Tan Skin, Gray Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bangs with Highlights, perky breasts, Clip-on earrings, peach cream lipstick, Red Lace Bra and Panty Set with Garter Belt
